day,type,category,debit,credit,balance,category_mean,category_std,zscore,stat_anomaly,isoforest_anomaly,isoforest_score,autoencoder_reconstruction_error,autoencoder_anomaly,flagged_by_n_methods
Saturday,Debit,Shopping,445.0,0.0,60363.46,2215.5484782608696,3432.7600687739223,-0.5157798514281995,False,False,0.34037526085925945,0.00912264201577921,False,0
Saturday,Debit,Shopping,764.0,0.0,59599.46,2215.5484782608696,3432.7600687739223,-0.42285171383367864,False,False,0.3423051666808205,0.005959094913085189,False,0
Tuesday,Debit,Shopping,931.0,0.0,147251.0,2215.5484782608696,3432.7600687739223,-0.37420281421523044,False,False,0.3410653149742107,0.004572792587195412,False,0
Saturday,Debit,Shopping,397.0,0.0,152045.7,2215.5484782608696,3432.7600687739223,-0.5297627686838015,False,False,0.33477369427226855,0.009657231726179787,False,0
Saturday,Debit,Shopping,921.0,0.0,153403.7,2215.5484782608696,3432.7600687739223,-0.37711592197681415,False,False,0.3409764139640244,0.004650584730257096,False,0
Saturday,Debit,ATM,10000.0,0.0,48441.46,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Saturday,Debit,Shopping,772.0,0.0,58441.46,2215.5484782608696,3432.7600687739223,-0.4205212276244117,False,False,0.34200172364710496,0.005888456045848613,False,0
Saturday,Debit,Shopping,386.0,0.0,59213.46,2215.5484782608696,3432.7600687739223,-0.5329671872215435,False,False,0.3352191144433406,0.00978189967833603,False,0
Saturday,Debit,ATM,10000.0,0.0,38441.46,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Thursday,Debit,Shopping,3300.0,0.0,30834.09,2215.5484782608696,3432.7600687739223,0.3159124145039544,False,False,0.3860108576525889,0.004882041467508214,False,0
Friday,Debit,Travel,590.0,0.0,29351.59,659.375,155.52833343156482,-0.4460602031110056,False,False,0.5764767160314687,1.8535121585853125,False,0
Wednesday,Debit,Shopping,1380.0,0.0,34111.97,2215.5484782608696,3432.7600687739223,-0.24340427572012108,False,False,0.3513301270940823,0.001765141480447827,False,0
Monday,Debit,Shopping,2949.49,0.0,35491.97,2215.5484782608696,3432.7600687739223,0.21380507435268314,False,False,0.37086043706494304,0.002483970515960547,False,0
Saturday,Debit,Shopping,200.0,0.0,279065.6,2215.5484782608696,3432.7600687739223,-0.5871509915870008,False,False,0.3476591857570124,0.012011749582687645,False,0
Friday,Debit,Shopping,340.0,0.0,279265.6,2215.5484782608696,3432.7600687739223,-0.5463674829248286,False,False,0.34004495208217944,0.010311956073511323,False,0
Thursday,Debit,Shopping,2880.09,0.0,275322.0,2215.5484782608696,3432.7600687739223,0.1935881064872922,False,False,0.3665930954299578,0.002106050349146297,False,0
Saturday,Debit,Entertainment,33.5,0.0,279032.1,202.58714285714285,112.74393194525456,-1.4997449524755537,False,False,0.5781432697035221,0.05646568048835569,False,0
Saturday,Debit,ATM,10000.0,0.0,265322.0,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Saturday,Debit,ATM,10000.0,0.0,255322.0,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Saturday,Debit,Shopping,3257.0,0.0,252065.0,2215.5484782608696,3432.7600687739223,0.3033860511291444,False,False,0.3840621899063069,0.004543886097962741,False,0
Tuesday,Debit,Entertainment,202.19,0.0,231862.8,202.58714285714285,112.74393194525456,-0.003522520904590193,False,False,0.48658252043686007,0.05740905698608334,False,0
Saturday,Debit,Entertainment,243.66,0.0,231619.2,202.58714285714285,112.74393194525456,0.36430215297796276,False,False,0.5268982907690407,0.05766994942001012,False,0
Saturday,Debit,Shopping,5089.0,0.0,226530.2,2215.5484782608696,3432.7600687739223,0.8370673930512831,False,False,0.44446532726398413,0.029847812463315405,False,0
Sunday,Debit,Shopping,2569.88,0.0,223960.3,2215.5484782608696,3432.7600687739223,0.1032205906152034,False,False,0.3654423750923446,0.0008083180059727845,False,0
Wednesday,Debit,ATM,10000.0,0.0,213979.5,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Thursday,Debit,Entertainment,202.19,0.0,213777.4,202.58714285714285,112.74393194525456,-0.003522520904590193,False,False,0.48658252043686007,0.05740905698608334,False,0
Sunday,Debit,Medical,1000.0,0.0,212777.4,961.1,284.9175648323564,0.1365307190621557,False,False,0.5480902997319129,0.8657268790485491,False,0
Wednesday,Debit,Shopping,3000.65,0.0,212026.7,2215.5484782608696,3432.7600687739223,0.2287085336609456,False,False,0.37230543511787645,0.002783071123240363,False,0
Thursday,Debit,Entertainment,202.19,0.0,211824.5,202.58714285714285,112.74393194525456,-0.003522520904590193,False,False,0.48658252043686007,0.05740905698608334,False,0
Friday,Debit,Shopping,1869.0,0.0,460232.0,2215.5484782608696,3432.7600687739223,-0.10095330617867686,False,False,0.36589917114777265,0.00023240206091804387,False,0
Saturday,Debit,Shopping,1180.0,0.0,459052.0,2215.5484782608696,3432.7600687739223,-0.3016664309517956,False,False,0.349973052451267,0.0028501893912574773,False,0
Saturday,Debit,Shopping,2108.0,0.0,456944.0,2215.5484782608696,3432.7600687739223,-0.0313300306768258,False,False,0.36166467872203023,6.176437173393058e-05,False,0
Saturday,Debit,Shopping,202.19,0.0,456741.8,2215.5484782608696,3432.7600687739223,-0.5865130209872139,False,False,0.3461209693018222,0.011984156511073993,False,0
Saturday,Debit,Shopping,202.19,0.0,456539.6,2215.5484782608696,3432.7600687739223,-0.5865130209872139,False,False,0.3461209693018222,0.011984156511073993,False,0
Sunday,Debit,Shopping,1185.0,0.0,455354.6,2215.5484782608696,3432.7600687739223,-0.3002098770710038,False,False,0.34966281207194627,0.002819821490968426,False,0
Sunday,Debit,ATM,10000.0,0.0,445354.6,10000.0,0.0,0.0,False,False,0.5207596900789271,0.40226708293323443,False,0
Sunday,Debit,Medical,1155.75,0.0,444198.9,961.1,284.9175648323564,0.6831800633791418,False,False,0.5469536325367708,0.8669632523393136,False,0
